,gameidx,move
496,707,"[0, 3, 3, 3, 3, 3, 2, 1, 1]"
497,2144,"[0, 0, 3, 3, 2, 0, 0]"
498,206,"[0, 0, 3, 0, 0, 0, 2, 2]"
499,2950,"[3, 3, 3, 3, 1]"
500,791,"[0, 2, 2, 2, 2, 2, 0, 0, 0, 0]"
501,1587,"[0, 0, 0, 0, 3, 3, 3, 0, 3, 3]"
502,2828,"[0, 2, 2, 2, 2]"
503,2158,"[0, 2, 2, 0, 0, 0, 3]"
504,897,"[0, 0, 0, 0, 2]"
505,389,"[2, 0, 0, 0, 2, 2, 2, 0]"
506,377,"[0, 3, 3, 3, 3, 3, 2]"
507,1538,"[2, 0, 0, 0, 2, 2, 2, 0]"
508,2658,"[3, 0, 0, 3, 3, 3, 3, 1]"
509,982,"[0, 0, 0, 0, 3, 0]"
510,3209,"[1, 1, 1, 1, 2, 2, 2, 2, 2]"
511,2418,[]
512,2835,"[2, 1, 0, 2, 2, 2, 2, 0, 0, 0, 0]"
513,2299,"[2, 0, 0, 0, 0, 0]"
514,834,"[2, 2, 1, 2, 1, 2, 2]"
515,2069,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 0]"
516,2493,"[3, 3, 3, 3, 3, 0, 0, 0, 0, 0]"
517,657,"[0, 2, 2, 2, 1, 1, 1, 1, 2]"
518,1946,"[2, 2, 2, 2, 2, 0]"
519,2869,"[0, 0, 0, 3, 3, 3, 0, 0]"
520,767,"[2, 1, 3, 2, 2, 3, 3, 1, 1, 1, 1, 2, 0, 2]"
521,2827,"[0, 0, 2, 2, 2, 2, 0, 2, 0]"
522,40,"[2, 2, 2, 3, 1, 2, 2, 2, 0, 0, 0, 0, 0]"
523,2850,"[1, 3, 3, 3, 3, 3]"
524,267,"[2, 0, 0, 0, 0, 0]"
525,1334,"[3, 3, 3, 3, 3, 2, 1]"
526,848,"[1, 2, 2, 2, 2, 2, 1, 1]"
527,2263,[]
528,810,"[3, 3, 3, 3, 3, 0]"
529,14,"[1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
530,1307,"[3, 3, 3, 3, 3, 0]"
531,2756,"[2, 3, 3, 1, 1, 1, 1, 3, 3, 3]"
532,2944,"[0, 0, 0, 0, 3, 3, 3, 3]"
533,3266,"[1, 1, 1, 1, 2, 2]"
534,2569,"[3, 3, 3, 3, 0]"
535,303,"[2, 2, 2, 2, 2]"
536,574,"[0, 0, 0, 0, 3, 3]"
537,3214,"[1, 1, 1, 1, 1, 3]"
538,443,"[0, 3, 3, 3, 0, 0, 3]"
539,3136,"[0, 0, 0, 0, 3, 3, 3, 3, 1]"
540,1701,"[3, 2, 2, 2, 2, 0, 0, 0, 0]"
541,2897,"[1, 1, 2, 2, 2, 2, 2]"
542,951,"[1, 1, 3, 3, 1, 1]"
543,913,[]
544,2392,"[3, 3, 3, 3, 3, 1, 1, 1, 1]"
545,851,"[0, 0, 0, 3, 1, 1, 1, 1, 1, 3, 3, 3]"
546,2388,"[1, 2, 2, 1, 2, 2, 2, 0, 0, 3]"
547,1204,"[2, 1, 1, 1, 1, 3, 3]"
548,2267,"[3, 3, 3, 3, 3]"
549,244,"[2, 2, 0, 2, 2, 2, 0, 0, 0, 0]"
550,126,"[2, 1, 1, 1, 1, 3]"
551,875,"[0, 0, 0, 0, 2, 2, 2, 2, 2]"
552,2164,"[3, 3, 3, 3, 3]"
553,1845,"[0, 0, 0, 2, 2, 2, 2]"
554,564,"[1, 1, 1, 1, 3]"
555,872,"[3, 3, 3, 3, 3, 2, 0, 0, 0, 0, 0]"
556,1916,"[1, 1, 1, 1, 2, 2, 2, 2, 2]"
557,1047,"[1, 1, 2, 2, 2, 1, 1]"
558,2316,"[1, 3, 3, 3, 1, 1, 1, 1]"
559,3093,[]
560,2383,"[1, 2, 3, 2, 1, 2, 1, 1, 2, 1, 2, 2]"
561,2376,"[2, 1, 3, 0, 2, 1, 2, 2, 2, 2]"
562,17,"[0, 0, 0, 0, 0]"
563,3019,"[1, 1, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2]"
564,2350,"[1, 1, 2, 1, 1]"
565,18,"[1, 0, 1, 2, 1, 2, 1, 2, 2, 1, 2]"
566,1689,"[3, 2, 3, 1, 3, 1, 3, 1, 3, 1, 1]"
567,2518,"[3, 2, 3, 1, 1, 1, 2, 1]"
568,1241,"[1, 3, 1, 1, 2, 1]"
569,2223,"[0, 1, 3, 1, 0, 3, 3, 3, 1, 3, 1, 1, 1]"
570,68,"[0, 2, 0, 0, 0, 2, 0]"
571,966,"[2, 2, 2, 2]"
572,934,"[0, 1, 3, 1, 3, 1, 3, 1, 3, 3]"
573,4,"[3, 1, 3, 1, 3, 1, 3, 1, 1, 2, 2]"
574,3132,"[2, 1, 1, 3, 1, 1, 3, 1, 3]"
575,1676,[]
576,2172,"[0, 0, 0, 0, 0, 2]"
577,414,"[2, 2, 2, 1, 2, 1, 1]"
578,1212,"[1, 1, 1, 1]"
579,803,"[0, 2, 0, 0, 0, 3, 3]"
580,1543,"[1, 1, 2, 1, 1, 1]"
581,1761,"[0, 0, 0, 3, 3, 0, 0]"
582,2921,"[0, 0, 2, 2, 2, 2, 2]"
583,2860,"[3, 3, 3, 3, 3, 0, 0]"
584,2928,"[1, 1, 1, 1, 1]"
585,1591,"[0, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2]"
586,909,"[0, 2, 2, 2, 2, 0, 0, 0, 0, 2]"
587,627,"[2, 2, 2, 2, 1]"
588,502,"[0, 0, 0, 2, 2, 2, 0]"
589,740,"[2, 2, 2, 2, 2, 0, 0]"
590,946,"[1, 1, 1, 1, 1, 3, 3, 3]"
591,1550,[]
592,226,"[2, 3, 2, 3, 0, 1, 2, 3, 0, 0, 0, 0, 0, 2, 2, 2]"
593,1783,"[1, 1, 3, 3, 3, 1, 1, 1, 2, 2, 2]"
594,2127,"[3, 3, 1, 3, 3, 3, 0, 0, 0]"
595,2095,"[3, 0, 0, 0, 0, 0, 3, 3, 3, 3]"
596,1791,"[2, 2, 0, 0, 0, 0, 3, 3, 3, 3, 3]"
597,2175,"[3, 3, 3, 0, 0, 0, 0, 0]"
598,676,"[0, 0, 2, 2, 2, 2, 2, 1, 1]"
599,2176,"[1, 1, 1, 1, 1, 3, 3, 0, 0]"
600,391,"[2, 2, 0, 0, 0, 1, 2, 2, 1, 1]"
601,552,"[3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 2, 1, 1, 1, 1, 3]"
602,2670,"[1, 1, 1, 1, 3, 3]"
603,1350,"[1, 1, 1, 1, 3, 2]"
604,3021,"[2, 2, 0, 0, 0, 0, 0, 3, 3]"
605,1182,"[1, 1, 1, 3, 1]"
606,819,"[0, 3, 3, 3, 3, 3, 1, 1, 1]"
607,1823,[]
608,303,"[1, 1, 1, 1, 3, 3]"
609,2380,"[3, 3, 0, 0, 1, 3, 3, 1, 0, 0, 3]"
610,753,"[1, 1, 1, 1]"
611,2332,"[0, 2, 2, 2, 2, 1, 1, 1]"
612,344,"[0, 0, 0, 0, 2]"
613,2845,"[0, 0, 2, 2, 1, 1, 2, 2, 0, 0, 2]"
614,374,"[1, 0, 3, 1, 1, 1, 3, 3, 3, 0]"
615,2957,"[0, 0, 1, 2, 2, 2, 2, 2, 1]"
616,1413,"[0, 0, 0, 0, 0, 3, 3]"
617,2097,"[1, 1, 1, 1, 3, 3, 3, 3, 3]"
618,1142,"[3, 3, 3, 3, 1, 1, 1, 1]"
619,735,"[0, 2, 2, 2, 2, 2, 0, 0]"
620,1552,"[1, 1, 1, 1]"
621,2003,"[1, 0, 0, 0, 0, 0, 2, 2, 2, 2, 1]"
622,1808,"[3, 0, 0, 0, 0, 2, 2]"
623,2835,[]
624,2342,"[0, 0, 0, 2, 2, 1, 1, 1, 1, 2, 0, 2]"
625,2928,"[3, 3, 0, 0, 0, 0, 0]"
626,634,"[3, 2, 0, 0, 0, 0, 2]"
627,3113,"[1, 1, 1, 3, 3, 3, 3, 3]"
628,2005,"[1, 1, 1, 2, 2, 2, 2]"
629,2818,"[0, 0, 0, 0, 0, 3, 3, 3, 3, 3]"
630,2197,"[1, 3, 3, 3, 3]"
631,1032,"[0, 3, 3, 3, 3, 0, 0]"
632,890,"[0, 0, 0, 0]"
633,1372,"[1, 1, 1, 0, 2, 2, 2, 2, 2]"
634,829,"[1, 2, 2, 2, 2, 2]"
635,725,"[2, 0, 0, 0, 0]"
636,1374,"[0, 1, 1, 1, 2, 2, 2, 2]"
637,919,"[1, 1, 3, 3, 1, 1, 2, 2, 2, 2]"
638,1798,"[3, 3, 1, 1, 1, 1, 2, 2, 2]"
639,736,[]
640,2988,"[2, 1, 0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 0, 2, 2]"
641,1797,"[3, 3, 3, 3, 0]"
642,263,"[1, 1, 2, 2, 2, 2, 2]"
643,1920,"[1, 1, 1, 2, 2, 1, 1]"
644,817,"[2, 2, 2, 0, 0, 0, 0, 0]"
645,1339,"[3, 1, 3, 1, 1, 2, 2, 1]"
646,1513,"[3, 3, 3, 3, 1, 1, 1, 1, 1]"
647,1269,"[2, 2, 1, 1, 1, 1, 2, 1]"
648,1831,"[0, 2, 0, 0, 0, 2, 0]"
649,676,"[0, 3, 0, 0, 0, 0]"
650,2598,"[0, 0, 3, 3, 3, 3, 0, 0]"
651,1998,"[0, 2, 2, 0, 0, 0, 2, 0]"
652,402,"[2, 1, 2, 2, 2, 2, 1]"
653,569,"[1, 1, 1, 1, 2, 2, 2]"
654,547,"[3, 3, 3, 3, 0, 0]"
655,2186,[]
656,1435,"[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2]"
657,2491,"[1, 1, 1, 1, 2, 2, 2, 2, 2]"
658,2833,"[0, 0, 0, 0, 2, 2, 2, 2]"
659,1560,"[2, 1, 1, 1, 1, 1, 2, 2, 2]"
660,1156,"[1, 1, 2, 2, 2, 2]"
661,1649,"[2, 2, 2, 2, 1, 1, 1]"
662,578,"[1, 3, 3, 1, 1, 2, 2, 1]"
663,2,"[3, 1, 1, 1, 1]"
664,5,"[1, 2, 1, 2, 2, 2, 2, 0, 0, 3]"
665,1120,"[3, 3, 3, 3, 0, 0, 0, 0, 0]"
666,2479,"[0, 0, 0, 0, 2]"
667,702,"[0, 2, 2, 0, 0, 0, 0]"
668,2612,"[2, 2, 1, 1, 1, 1]"
669,2015,"[2, 2, 2, 2, 1, 1]"
670,665,"[2, 2, 2, 2]"
671,2835,[]
672,1730,"[2, 2, 1, 1, 1, 1, 1, 3]"
673,1611,"[3, 3, 3, 3, 3, 1, 1, 1, 1, 0, 0, 0]"
674,405,"[1, 1, 2, 2, 2, 2, 2, 1]"
675,1161,"[1, 1, 1, 1, 1, 3, 3, 3, 3]"
676,643,"[1, 1, 1, 1, 2, 2]"
677,2062,"[3, 3, 3, 3, 3]"
678,514,"[0, 2, 2, 2, 2, 1, 1, 1, 1]"
679,3229,"[1, 1, 1, 1, 1]"
680,1650,"[0, 0, 2, 2, 2, 2, 2, 1, 3]"
681,2071,"[3, 1, 1, 1, 2, 1, 1, 3]"
682,2471,"[1, 2, 2, 2, 2, 2, 0, 0, 0, 0]"
683,2183,"[0, 0, 0, 0, 0, 3, 1, 3]"
684,2575,"[1, 1, 3, 3, 3, 3, 0]"
685,2877,"[2, 2, 2, 2, 2]"
686,1208,"[1, 2, 2, 2, 2, 2, 0]"
687,60,[]
688,2400,"[2, 2, 2, 0, 0, 0, 0]"
689,323,"[3, 3, 3, 3, 1]"
690,2655,"[0, 0, 0, 0, 0]"
691,1581,"[1, 1, 3, 3, 3, 3, 3]"
692,1731,"[1, 1, 3, 3, 1, 1, 2, 2, 2, 2]"
693,1917,"[1, 1, 2, 2, 2, 2, 2]"
694,367,"[0, 2, 2, 2, 2, 2]"
695,1207,"[2, 2, 2, 2, 2, 1, 1]"
696,2207,"[2, 2, 2, 0, 2]"
697,17,"[3, 1, 1, 1, 1, 2, 2, 2, 1]"
698,3088,"[3, 3, 3, 3, 3, 1, 1, 1]"
699,1198,"[3, 0, 0, 0, 0, 2]"
700,43,"[3, 3, 3, 3, 3, 1, 1]"
701,910,"[3, 3, 3, 3, 3]"
702,2919,"[0, 2, 2, 2, 2]"
703,1681,[]
704,375,"[2, 3, 2, 3, 2, 2, 0, 0, 0, 0, 0]"
705,1645,"[2, 0, 0, 0, 0, 0]"
706,2509,"[2, 0, 0, 0, 0, 0]"
707,956,"[0, 3, 3, 3, 3, 3, 1]"
708,1259,"[2, 1, 1, 1, 1, 3, 3, 3]"
709,775,"[2, 0, 0, 0, 0, 0]"
710,2512,"[3, 3, 1, 3, 1, 1, 3]"
711,1991,"[1, 3, 1, 1, 1, 3, 3, 3]"
712,2433,"[0, 0, 0, 0, 0]"
713,1307,"[1, 1, 1, 1, 1, 3, 0]"
714,2282,"[3, 3, 3, 3, 0]"
715,75,"[1, 2, 2, 1, 2, 2, 2, 0, 0, 3]"
716,1321,"[0, 0, 0, 0, 0, 3]"
717,3206,"[2, 0, 0, 0, 2, 0, 2, 2, 0, 2]"
718,619,"[1, 2, 1, 1, 1, 1, 2, 2]"
719,70,[]
720,2319,"[0, 3, 1, 1, 1, 3, 1, 3, 3, 3]"
721,334,"[0, 0, 3, 3, 3, 3, 0, 3]"
722,402,"[2, 2, 2, 1, 2, 1, 1, 1]"
723,3217,"[2, 0, 0, 0, 3, 0, 2, 2]"
724,2650,"[0, 0, 0, 3, 0, 3, 0]"
725,697,"[2, 0, 2, 0, 2, 2, 2]"
726,2599,"[2, 2, 0, 2, 2, 2, 1]"
727,1719,"[0, 3, 0, 3, 0, 3, 0]"
728,388,"[0, 0, 0, 0, 0]"
729,1036,"[3, 0, 0, 2, 0, 0, 2, 2]"
730,1464,"[1, 1, 1, 3, 1, 3, 1, 3]"
731,2706,"[0, 3, 0, 3, 3, 3, 0]"
732,3090,"[2, 0, 2, 2, 2]"
733,346,"[0, 3, 3, 3, 3]"
734,307,"[2, 2, 2, 0, 0, 2, 0, 0]"
735,1868,[]
736,2294,"[1, 1, 3, 3, 3, 3]"
737,1872,"[2, 2, 0, 0, 0, 0, 0, 2]"
738,1194,"[2, 2, 2, 2, 2, 0, 0]"
739,972,"[0, 0, 2, 2, 2, 0, 0, 0]"
740,2408,"[0, 0, 0, 0]"
741,1503,"[0, 0, 0, 0, 0]"
742,2840,"[1, 1, 1, 1, 1]"
743,1901,"[1, 1, 1, 1, 3, 3]"
744,3183,"[1, 1, 1, 1, 1]"
745,1446,"[1, 2, 2, 1, 1, 2, 2]"
746,2892,"[1, 1, 1, 1]"
747,2162,"[0, 2, 2, 2, 2, 1, 2]"
748,2040,"[2, 0, 0, 3, 0, 0, 0]"
749,1281,"[0, 0, 0, 3, 0, 0]"
750,247,"[1, 1, 1, 1, 3]"
751,1578,[]
752,2681,"[2, 2, 2, 2, 1]"
753,1547,"[1, 1, 1, 1, 2, 2]"
754,2179,"[1, 1, 1, 1]"
755,1773,"[1, 0, 2, 0, 2, 2, 2, 2, 0]"
756,3072,"[3, 3, 3, 3, 0]"
757,1531,"[0, 0, 0, 0, 0]"
758,2748,"[2, 2, 2, 2, 2, 0, 0, 0]"
759,280,"[1, 2, 2, 2, 2]"
760,2999,"[1, 1, 1, 1, 2, 2, 2, 2, 2]"
761,2784,"[1, 1, 3, 3, 3, 1, 1, 1]"
762,2186,"[2, 2, 2, 2, 0, 0, 0, 0, 0]"
763,567,"[2, 2, 2, 1, 1, 1, 2, 2]"
764,2827,"[3, 3, 3, 3, 3]"
765,1232,"[2, 2, 1, 2, 1, 1, 1, 2, 2]"
766,2472,"[0, 0, 0, 0]"
767,624,[]
768,2139,"[2, 2, 2, 2, 0, 0, 0]"
769,2344,"[0, 0, 0, 0, 0, 3, 3]"
770,1486,"[2, 2, 2, 2, 2, 1, 1]"
771,580,"[1, 1, 1, 1, 3, 1]"
772,2057,"[2, 1, 1, 2, 1, 1, 2]"
773,2128,"[0, 0, 0, 0, 0, 3]"
774,1182,"[1, 2, 2, 2, 2, 0, 0, 0]"
775,3148,"[3, 1, 1, 1, 3, 3, 3, 1]"
776,206,"[0, 3, 3, 3, 3, 3]"
777,2288,"[1, 3, 1, 1, 1, 1, 2]"
778,2363,"[0, 0, 2, 2, 2, 2, 0, 0, 2]"
779,3059,"[3, 3, 3, 3]"
780,1416,"[1, 1, 1, 1, 2]"
781,1865,"[1, 2, 1, 1, 1, 2, 2, 2, 2]"
782,2764,"[3, 3, 0, 0, 3, 3, 3, 0, 0]"
783,1689,[]
784,1606,"[3, 3, 0, 3, 3, 0]"
785,2802,"[1, 2, 1, 1, 1, 3, 1]"
786,526,"[2, 2, 2, 2, 2]"
787,1944,"[3, 2, 2, 2, 0, 0, 0, 2, 0, 0]"
788,2897,"[3, 3, 3, 3, 3, 0, 0, 0, 0, 0]"
789,1365,"[2, 2, 2, 2, 1]"
790,1061,"[2, 2, 2, 0, 2, 0, 0]"
791,1388,"[0, 3, 3, 3, 3]"
792,1161,"[3, 0, 3, 3, 3]"
793,2738,"[1, 1, 1, 1, 2, 1, 2, 2, 2, 2]"
794,2035,"[2, 2, 1, 1, 1, 1, 1, 3, 3, 3]"
795,3110,"[2, 2, 0, 0, 0, 0, 0]"
796,487,"[2, 2, 2, 2, 0, 0, 0, 0, 2]"
797,6,"[3, 3, 3, 3, 0, 0]"
798,1658,"[1, 2, 2, 2, 2, 1, 1, 2, 1]"
799,3046,[]
800,1633,"[0, 1, 1, 3, 3, 3, 3, 3, 2, 2, 3, 3, 0, 0, 0]"
801,3073,"[2, 0, 0, 0, 2, 0]"
802,1548,"[2, 2, 2, 0, 0, 2]"
803,2427,"[1, 1, 2, 2, 2, 2, 0, 2]"
804,1651,"[1, 2, 2, 1, 1, 1, 3, 3, 1]"
805,1900,"[1, 1, 1, 1, 3]"
806,1261,"[2, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0]"
807,41,"[2, 0, 0, 0, 0, 3, 3, 3, 3]"
808,1842,"[0, 0, 0, 0, 0]"
809,1117,"[1, 1, 1, 1, 1, 2, 2]"
810,629,"[1, 1, 1, 1]"
811,938,"[3, 2, 2, 0, 0, 0, 0, 2]"
812,2452,"[0, 0, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
813,14,"[1, 1, 1, 1]"
814,811,"[3, 3, 3, 3, 0, 0, 0, 0]"
815,2401,[]
816,154,"[1, 3, 0, 0, 3, 3, 3, 3, 1, 2, 2, 1]"
817,2493,"[2, 3, 1, 1, 2, 2, 2, 2, 2, 0]"
818,2278,"[3, 3, 3, 1, 1, 1, 3]"
819,3139,"[3, 3, 3, 0, 0, 0, 0]"
820,1983,"[1, 3, 3, 3, 3]"
821,1758,"[0, 0, 2, 2, 2, 2]"
822,1043,"[3, 3, 3, 3, 3, 0, 0, 0, 0]"
823,773,"[2, 2, 2, 2, 1, 1]"
824,1770,"[2, 2, 2, 2, 0, 0, 0]"
825,1691,"[3, 1, 3, 1, 1, 2, 2, 0, 1, 1]"
826,2355,"[2, 2, 2, 1, 2, 2, 0, 0, 0, 0, 0, 3, 1]"
827,1887,"[3, 1, 1, 1, 1, 1, 0, 3, 3, 3]"
828,1445,"[1, 1, 3, 3, 3, 3, 3]"
829,247,"[1, 1, 1, 2, 2, 1]"
830,1327,"[1, 1, 1, 1, 1]"
831,200,[]
832,208,"[0, 3, 3, 0, 3, 3, 3, 1]"
833,1358,"[3, 3, 3, 3, 3, 0, 0, 0, 0, 0]"
834,2045,"[3, 3, 3, 0, 3]"
835,2441,"[1, 1, 1, 1, 3]"
836,1801,"[0, 0, 0, 0]"
837,2516,"[1, 1, 1, 1]"
838,994,"[0, 2, 2, 2, 2]"
839,2619,"[3, 3, 3, 3, 1, 1, 1, 1]"
840,2595,"[2, 2, 2, 1, 1, 1, 2]"
841,591,"[2, 2, 0, 0, 0, 0, 0]"
842,1741,"[3, 3, 3, 3, 3, 0, 0]"
843,1698,"[2, 2, 2, 2, 1, 1, 1]"
844,2528,"[3, 3, 1, 1, 1, 3, 3, 3]"
845,3253,"[2, 2, 2, 1, 1, 1, 1, 1]"
846,332,"[3, 0, 0, 0, 0, 0, 2]"
847,969,[]
848,550,"[1, 0, 3, 3, 3, 3, 1, 2, 2, 2, 2, 0, 3, 3, 3, 2, 0, 0, 0, 0, 2, 2, 3, 3, 3, 3, 1, 3, 1, 1, 1, 1, 2, 0, 0]"
849,602,"[2, 2, 1, 1, 1, 1, 1]"
850,136,"[3, 3, 0, 0, 0, 0, 3, 0, 3, 3]"
851,799,"[0, 0, 0, 0, 3, 0, 3, 3, 3, 1, 1, 1, 1, 1]"
852,370,"[3, 3, 0, 0, 0, 0, 2]"
853,1023,"[1, 2, 2, 2, 2, 2, 0]"
854,3151,"[1, 1, 2, 2, 2, 2, 0, 0, 1]"
855,2932,"[3, 3, 3, 3, 0, 0, 0]"
856,3166,"[0, 3, 3, 3, 3, 3, 2, 1]"
857,1546,"[2, 3, 3, 0, 0, 0, 0]"
858,95,"[2, 1, 1, 1, 1, 1]"
859,1665,"[0, 0, 0, 2, 2, 2, 2, 1, 1, 1]"
860,425,"[2, 2, 1, 1, 2, 1, 0, 1, 2, 1, 1]"
861,158,"[2, 3, 3, 3, 3, 1, 1, 1, 1, 1]"
862,333,"[1, 1, 3, 3, 3, 3, 1, 1]"
863,1912,[]
864,3273,"[2, 2, 2, 2, 2, 0, 3, 0, 0, 0, 3, 3]"
865,134,"[0, 3, 0, 0, 0, 0, 2, 2]"
866,1487,"[0, 2, 0, 0, 0, 3, 3, 3]"
867,975,"[1, 1, 1, 1, 2]"
868,2079,"[2, 0, 2, 2, 1, 1, 2]"
869,2841,"[1, 1, 1, 1]"
870,814,"[3, 3, 3, 0, 0, 3]"
871,342,"[2, 1, 1, 1, 1, 3, 2, 0, 0, 0, 0, 2]"
872,645,"[3, 0, 3, 3, 3, 3]"
873,2559,"[2, 2, 2, 2]"
874,2458,"[2, 2, 2, 2]"
875,327,"[2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 1, 2, 0, 2, 2, 2, 2, 3, 3, 2, 2, 1, 1, 1, 1, 1]"
876,2493,"[0, 3, 0, 3, 3, 3]"
877,956,"[1, 1, 1, 1, 1, 3]"
878,1265,"[0, 2, 2, 2, 2, 1, 1, 1]"
879,1214,[]
880,1156,"[0, 0, 0, 0]"
881,610,"[1, 2, 2, 2, 1, 1, 2, 2, 0]"
882,2379,"[1, 1, 1, 3, 3, 3, 3, 1, 1]"
883,1529,"[3, 3, 3, 3, 3, 0, 0, 0]"
884,2158,"[1, 3, 3, 3, 3, 3, 0, 0, 0]"
885,1065,"[0, 0, 3, 3, 3, 3, 3]"
886,1592,"[1, 1, 1, 2, 2, 2, 2, 0]"
887,2403,"[2, 2, 2, 0, 0, 0, 0, 0]"
888,2951,"[3, 1, 1, 3, 1, 1, 1]"
889,1401,"[1, 1, 1, 1, 1, 3, 3]"
890,2437,"[0, 0, 0, 0]"
891,2578,"[1, 3, 3, 0, 3, 3, 1]"
892,698,"[1, 2, 2, 2, 2, 0, 0, 0, 2]"
893,2639,"[2, 2, 1, 1, 1, 1]"
894,1687,"[2, 2, 2, 1, 2, 1, 1, 1]"
895,2101,[]
896,2132,"[3, 1, 1, 1, 1, 1, 2, 2]"
897,1639,"[1, 1, 1, 1, 3, 1]"
898,2470,"[3, 2, 0, 0, 0, 3, 0, 0]"
899,2548,"[3, 3, 3, 0, 0, 3, 3]"
900,1564,"[1, 1, 1, 1, 1]"
901,861,"[1, 1, 2, 0, 2, 2, 2, 2, 0, 0, 0]"
902,466,"[2, 1, 1, 1, 1, 1]"
903,1814,"[1, 0, 2, 2, 0, 2, 2, 2, 0, 0, 0]"
904,1612,"[3, 3, 3, 3, 3, 1, 1]"
905,742,"[1, 1, 2, 2, 1, 2, 2, 2, 3, 1, 1]"
906,2059,"[3, 0, 0, 3, 3, 3, 3, 0, 0]"
907,2562,"[2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
908,2739,"[1, 1, 3, 1, 1, 1]"
909,3062,"[0, 3, 3, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 0, 3, 3, 3, 0]"
910,620,"[0, 0, 3, 3, 3, 0, 0, 0, 2, 1]"
911,2483,[]
912,1802,"[3, 3, 3, 3, 3, 2, 2, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 3, 2, 2]"
913,1302,"[3, 3, 3, 3, 0, 1, 0, 2, 2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 0, 2, 2]"
914,1385,"[3, 3, 1, 1, 2, 2, 2, 2, 0, 2, 1, 1, 1, 1, 0, 0, 0, 3, 3, 1, 1]"
915,2517,"[3, 0, 0, 0, 2, 2, 2, 0, 3, 3, 0, 3, 3, 2, 2, 1, 1, 2, 2, 0, 0]"
916,1641,"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 1, 3, 1, 2, 1, 3, 3, 3, 3, 3]"
917,195,"[0, 0, 0, 0, 0, 3, 3, 3, 3, 1, 1, 1, 1, 2, 2, 2, 0, 3, 3, 3]"
918,331,"[1, 1, 1, 1, 3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 0, 3, 3, 3, 3, 0]"
919,2320,"[0, 0, 0, 2, 2, 2, 2, 2]"
920,1318,"[3, 0, 0, 3, 3, 0, 0]"
921,15,"[0, 2, 0, 2, 0, 0, 0, 2, 2]"
922,1809,"[2, 2, 2, 2, 2, 1, 1, 1]"
923,2756,"[0, 0, 1, 1, 1, 1, 1, 3, 3, 3, 3]"
924,569,"[0, 0, 0, 0, 0, 2, 2, 2, 1]"
925,3237,"[2, 1, 1, 1, 3, 1, 1]"
926,2993,"[3, 0, 0, 0, 0, 3, 3, 3, 3]"
927,1269,[]
928,2058,"[1, 1, 1, 1, 2, 2, 2, 2]"
929,1310,"[2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
930,322,"[3, 3, 0, 0, 0, 0, 3, 3, 3]"
931,3029,"[2, 2, 0, 0, 0, 0, 0, 3, 3]"
932,2422,"[3, 3, 1, 3, 3, 3]"
933,1931,"[0, 1, 2, 2, 2, 2, 2, 1, 1]"
934,1628,"[2, 2, 1, 1, 1, 1, 3, 3]"
935,2200,"[2, 1, 1, 1, 3, 1]"
936,132,"[2, 2, 2, 2, 2, 3, 2, 1, 1]"
937,2080,"[0, 0, 0, 0, 0, 2, 2, 2]"
938,2206,"[2, 2, 0, 0, 0, 0, 0]"
939,1319,"[3, 0, 3, 3, 3]"
940,1813,"[1, 1, 1, 1]"
941,1302,"[2, 2, 1, 1, 1, 1, 1]"
942,1732,"[0, 0, 0, 0, 3, 3]"
943,1275,[]
944,1276,"[1, 2, 2, 2, 2, 0, 0]"
945,2634,"[1, 1, 2, 2, 2, 2, 2, 1, 1, 1]"
946,1434,"[3, 3, 3, 3, 3, 1]"
947,2011,"[2, 2, 2, 2, 2, 0, 0, 0]"
948,1996,"[1, 1, 2, 1, 1, 1, 2, 2, 2, 2]"
949,1521,"[1, 2, 2, 2, 2, 2, 1, 1]"
950,231,"[1, 1, 1, 3, 3, 1, 1]"
951,3186,"[2, 2, 0, 0, 0, 0]"
952,2300,"[1, 1, 1, 1, 1, 2]"
953,990,"[3, 3, 3, 1, 3]"
954,2889,"[3, 3, 3, 3, 3, 1]"
955,1420,"[0, 0, 0, 3, 0]"
956,1977,"[3, 0, 0, 0, 0, 2, 2]"
957,1451,"[3, 1, 1, 1, 1, 1, 2]"
958,1951,"[2, 2, 2, 0, 0, 0, 0]"
959,180,[]
960,1092,"[2, 1, 1, 1, 2, 2, 2, 0, 0, 0, 2]"
